id,building_id,name,short_name,description,url,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,image,campus,lat,lng,address,hours/sunday/closed,hours/sunday/open,hours/sunday/close,hours/monday/closed,hours/monday/open,hours/monday/close,hours/tuesday/closed,hours/tuesday/open,hours/tuesday/close,hours/wednesday/closed,hours/wednesday/open,hours/wednesday/close,hours/thursday/closed,hours/thursday/open,hours/thursday/close,hours/friday/closed,hours/friday/open,hours/friday/close,hours/saturday/closed,hours/saturday/open,hours/saturday/close,tags/7,tags/8,tags/9,tags/10,tags/11
0274,152,VEDA Rehabilitation Services,veda_rehabilitation_services,"Located inside the Rehabilitation Sciences builing at 500 University Avenue, Veda offers Indian takeout. Catering available 416-961-9797. Menu includes hot meals and snacks like curries, sandwiches, pizzas & samosas. Halal & Vegan options available.",http://www.vedatakeout.com/index.php,snacks,beverage,lug a mug,microwave,indian,samosa,curry,http://map.utoronto.ca/_assets/_m_b/veda_takeout1.jpg,UTSG,43.65541,-79.38912,"500 University Ave, Toronto, ON M5G 1V7",true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,,,,,
0276,068A,Café AC,ac_cafe,"Café with seating. Serving Grab'N'Go sandwiches and snacks, as well as a variety of beverages including . Located on the lower level of the Athletic Centre.",https://ueat.utoronto.ca/ac-cafe/,coffee,beverage,muffins,cookies,grabngo,ac,,http://map.utoronto.ca/_assets/_m_b/ac_cafe.jpg,UTSG,43.66292,-79.40131,"55 Harbord St, Toronto, ON M5S 2W6",false,32400,61200,false,25200,75600,false,25200,75600,false,25200,75600,false,25200,75600,false,25200,75600,false,32400,61200,,,,,
0309,101,Café Reznikoff,cafe_reznikoff,"Café Reznikoff’s comfortable couches and large windows make it a great communal space for group meetings and coffee breaks. You’re welcome to enjoy great quality coffee, fresh sandwiches, baked goods and soups.


",https://ueat.utoronto.ca/cafe-reznikoff/,reznikoff,cafe,muffins,coffee,uc,,,http://map.utoronto.ca/_assets/_m_b/cafe_reznikoff1.jpg,UTSG,43.66309,-79.39773,"75 St. George Street, Toronto ON M5S 2E5",true,0,0,false,27000,64800,false,27000,64800,false,27000,64800,false,27000,64800,false,27000,54000,true,0,0,,,,,
0311,158,Chestnut Tree,chestnut_tree,"Visit the newly refurbished dining hall. This all-you-care-to-eat facility offers 15 food stations serving diverse and ethnic food daily! Dine on fresh, local and sustainable certified food, and explore flavours from around the world!",http://www.chestnutresidence.utoronto.ca/food.htm,chestnut,dining hall,breakfast,lunch,dinner,all you care to eat,,http://map.utoronto.ca/_assets/_m_b/Chestnut_residence.jpg,UTSG,43.65426,-79.3852,"89 Chestnut Street, Toronto, ON M5G 1R1",false,25200,72000,false,25200,72000,false,25200,72000,false,25200,72000,false,25200,72000,false,25200,72000,false,25200,72000,,,,,
0312,064,Second Cup Grad Room,grad_room_second_cup,"Cheesecakes, croissants, cupcakes, oh my. Accompany your treat with some fair trade coffee and tea, as Second Cup offers this sustainable practice. If your sweet tooth happens to be acting up, come by this Second Cup!",https://ueat.utoronto.ca/grad_room_second_cup/,grad,coffee,cookies,muffins,beverage,,,http://map.utoronto.ca/_assets/_m_b/Grad_Room_Second_Cup.jpg,UTSG,43.66332,-79.40182,"66 Harbord Street, Toronto, ON M5S 1G2",false,32400,61200,false,25200,68400,false,25200,68400,false,25200,68400,false,25200,68400,false,25200,68400,false,32400,61200,,,,,
0313,009,Hard Hat Cafe,hard_hat_cafe,"Located in the basement of Sandford Fleming, this cafe is owned and operated by the Engineering Society. Offerings include coffee, baked goods, pizza, frozen entrees, beverages and snacks.",https://ueat.utoronto.ca/hard-hat-cafe/,engsoc,skule,pit stop,sandford,,,,http://map.utoronto.ca/_assets/_m_b/hard_hat_cafe.jpg,UTSG,43.66005,-79.39508,"10 King's College Road, Toronto, ON M5S 3G4",true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,,,,,
0314,101,Howard Ferguson Dining Hall,howard_ferguson_dining_hall,"This contemporary cafeteria-style serves breakfast, lunch and dinner. Selections include a variety of beverages, snacks, and entrees prepared to your liking. Closed for the summer.",http://www.uc.utoronto.ca/howard-ferguson-dining-hall,uc,morrison,dining,lfp,,,,http://map.utoronto.ca/_assets/_m_b/Howard_Ferguson.jpg,UTSG,43.66322,-79.39718,"75 St. George St, Toronto, ON M5S 2E5",true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,,,,,
0315,132,Innis Cafe,innis_cafe,Innis Cafe is a family-run operation. It is located in the west wing of Innis College. Seating is available.,http://ueat.utoronto.ca/innis-cafe/,innis,coffee,snacks,,,,,http://map.utoronto.ca/_assets/_m_b/Innis.jpg,UTSG,43.6655,-79.39974,"2 Sussex Avenue, Toronto, ON M5S 1J5",true,0,0,false,28800,57600,false,28800,57600,false,28800,57600,false,28800,57600,false,28800,57600,true,0,0,,,,,
0317,143,Second Cup Koffler,koffler_second_cup,"Looking for something sweet to eat? Second Cup has what you need! Accompany your sweet treat or snack with our fair trade coffee and tea. If you’re on the go, Second Cup has got you covered.",https://ueat.utoronto.ca/koffler_second_cup/,second cup,coffee,snacks,cookies,muffins,,,http://map.utoronto.ca/_assets/_m_b/Second_cup.jpg,UTSG,43.65912,-79.3969,"214 College Street, Toronto, ON M5T 2Z9",true,0,0,false,25200,64800,false,25200,64800,false,25200,64800,false,25200,64800,false,25200,64800,true,0,0,,,,,
0318,040,Goodmans LLP Cafe at Law,law_cafe,"Goodmans LLP Café at the brand new Faculty of Law building, features a menu of gourmet sandwiches, salads, handmade quiches and crepes, and homemade baked goods. There are also plenty of fresh Grab ‘N’ Go options plus Blue Dragon Coffee.",http://www.ueat.utoronto.ca,snacks,coffee,,,,,,http://map.utoronto.ca/_assets/_m_b/IMG_0300.jpg,UTSG,43.66575,-79.39417,"78 Queen's Park, Toronto, ON M5S 1K7",true,0,0,false,32400,61200,false,32400,61200,false,32400,633600,false,32400,61200,false,32400,61200,true,0,0,,,,,
